chr,start,end,name,score,strand,gc,gc_bin,chrom,feature_id,feature_bin,feature_type_top,feature_types,gene_name,gene_id,transcript_ids,gene_type_top,transcript_type_top,gene_types,transcript_types,input_sum,clip_sum,enrichment_n,enrichment_l2or_min,enrichment_l2or_mean,enrichment_l2or_max,p_max,p_min,q_max,q_min,symbol,expression,unique_ID,tscript_start,tscript_end,tscript_length
chr1,145992811,145992906,407716,0,-,0.484211,"(0.48,0.52]",chr1,49487,5,UTR3,UTR3:EXON_MRNA,TXNIP,ENSG00000265972.6,ENST00000582401.6,protein_coding,protein_coding,protein_coding,protein_coding,3,63,2,4.18334,4.3834800000000005,4.58362,3.29433e-05,6.22129e-08,0.0101669,1.81498e-05,TXNIP,up,TXNIP_407716,145992435,145996579,4144
chr13,42301123,42301221,3868527,0,+,0.397959,"(0.382,0.41]",chr13,404249,19,CDS,CDS:EXON_MRNA,AKAP11,ENSG00000023516.9,ENST00000025301.4,protein_coding,protein_coding,protein_coding,protein_coding,4,33,2,1.98105,2.720315,3.45958,0.0441683,0.000141615,0.120382,0.0031734,AKAP11,up,AKAP11_3868527,42272152,42323261,51109
chr6,47625696,47625793,1975142,0,+,0.226804,"[0,0.29]",chr6,207576,16,UTR3,UTR3:EXON_MRNA,CD2AP,ENSG00000198087.7,ENST00000359314.5,protein_coding,protein_coding,protein_coding,protein_coding,0,47,2,5.11104,5.28565,5.46026,0.00686769,1.27247e-05,0.0621975,0.000619528,CD2AP,up,CD2AP_1975142,47477789,47627263,149474
chr4,39122655,39122755,1378138,0,+,0.61,"(0.582,1]",chr4,149981,17,UTR3,UTR3:EXON_MRNA:INTRON,KLHL5,ENSG00000109790.18,ENST00000504108.7:ENST00000515612.1,protein_coding,protein_coding,protein_coding,protein_coding,0,25,2,4.88078,5.220405,5.56003,0.000594461,6.24093e-06,0.0262741,0.00038562,KLHL5,up,KLHL5_1378138,39062232,39126233,64001
chr9,107329948,107330045,2891365,0,+,0.329897,"(0.327,0.354]",chr9,290344,4,UTR3,UTR3:EXON_MRNA,RAD23B,ENSG00000119318.13,ENST00000358015.8,protein_coding,protein_coding,protein_coding,protein_coding,1,54,2,4.50681,5.03766,5.56851,0.00023475,2.11738e-06,0.0186271,0.000185033,RAD23B,up,RAD23B_2891365,107283279,107332189,48910
chr4,143220651,143220748,1449976,0,+,0.329897,"(0.327,0.354]",chr4,156620,3,UTR3,UTR3:EXON_MRNA,USP38,ENSG00000170185.12,ENST00000307017.9:ENST00000683224.1,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,50,2,4.63031,4.953125,5.27594,0.000766612,8.19362e-07,0.0287233,0.000100048,USP38,up,USP38_1449976,143184917,143223874,38957
chr3,177022221,177022320,1315672,0,-,0.30303,"(0.29,0.327]",chr3,143554,30,UTR3,UTR3:EXON_MRNA,TBL1XR1,ENSG00000177565.19,ENST00000457928.7:ENST00000474363.1:ENST00000673974.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,35,2,4.85907,4.93924,5.01941,0.00403424,0.000216008,0.0512406,0.00418969,TBL1XR1,up,TBL1XR1_1315672,177019344,177197482,178138
chr3,56668477,56668558,1213920,0,-,0.358025,"(0.354,0.382]",chr3,135958,2,CDS,CDS:EXON_MRNA,TASOR,ENSG00000163946.14,ENST00000683822.1:ENST00000493960.6,protein_coding,protein_coding,protein_coding,protein_coding,1,41,2,4.3016,4.713805,5.12601,0.00111469,9.98563e-06,0.0330446,0.000532119,TASOR,up,TASOR_1213920,56620132,56683265,63133
chr3,179236932,179237030,1114017,0,+,0.336735,"(0.327,0.354]",chr3,125035,27,UTR3,UTR3:EXON_MRNA,PIK3CA,ENSG00000121879.6,ENST00000263967.4,protein_coding,protein_coding,protein_coding,protein_coding,0,26,2,4.50945,4.71131,4.91317,0.00963263,0.000133129,0.0706334,0.00300369,PIK3CA,up,PIK3CA_1114017,179148357,179240093,91736
chr3,195516105,195516203,1334542,0,-,0.295918,"(0.29,0.327]",chr3,145345,18,UTR3,UTR3:EXON_MRNA,PPP1R2,ENSG00000184203.8,ENST00000618156.5,protein_coding,protein_coding,protein_coding,protein_coding,0,28,2,4.60594,4.64201,4.67808,0.0106681,0.000712522,0.0727614,0.00920755,PPP1R2,up,PPP1R2_1334542,195514428,195543325,28897
